config_id,model_name,iteration,stl_score,model_size,avg_bits,avg_pruning,stl_satisfied,timestamp,threshold_relaxation,robustness_coherence,robustness_attention,robustness_context,robustness_factual
0.0,gpt2,0.0,0.1650000065565109,237.1552734375,16.0,0.0,True,20250317_122440,0.0,0.1650000065565109,0.324999988079071,0.2800000011920929,0.2349999994039535
1.0,gpt2,0.0,0.1361885517835617,236.3115234375,15.916666666666666,0.0,True,20250317_122440,0.0,0.1570875942707061,0.3105508685111999,0.2796550691127777,0.1361885517835617
2.0,gpt2,1.0,0.1361885517835617,235.8896484375,15.875,0.0,True,20250317_122440,0.0,0.1570875942707061,0.3105508685111999,0.2796550691127777,0.1361885517835617
3.0,gpt2,2.0,0.1361885517835617,235.4677734375,15.833333333333334,0.0,True,20250317_122440,0.0,0.1570875942707061,0.3105508685111999,0.2796550691127777,0.1361885517835617
4.0,gpt2,3.0,0.1361885517835617,235.0458984375,15.791666666666666,0.0,True,20250317_122440,0.0,0.1570875942707061,0.3105508685111999,0.2796550691127777,0.1361885517835617
5.0,gpt2,4.0,0.1361885517835617,234.6240234375,15.75,0.0,True,20250317_122440,0.0,0.1570875942707061,0.3105508685111999,0.2796550691127777,0.1361885517835617
6.0,gpt2,5.0,0.1361885517835617,234.4130859375,15.729166666666666,0.0,True,20250317_122440,0.0,0.1570875942707061,0.3105508685111999,0.2796550691127777,0.1361885517835617
7.0,gpt2,6.0,0.0745579376816749,234.2021484375,15.708333333333334,0.0,True,20250317_122440,0.0,0.0745579376816749,0.3025203347206116,0.2791335880756378,0.1641064137220382
8.0,gpt2,7.0,0.0488790273666381,233.3583984375,15.625,0.0,True,20250317_122440,0.0,0.0488790273666381,0.2888444662094116,0.2780117094516754,0.2144207805395126
9.0,gpt2,8.0,0.0488790273666381,232.9365234375,15.583333333333334,0.0,True,20250317_122440,0.0,0.0488790273666381,0.2888444662094116,0.2780117094516754,0.2144207805395126
10.0,gpt2,9.0,0.0488790273666381,232.5146484375,15.541666666666666,0.0,True,20250317_122440,0.0,0.0488790273666381,0.2888444662094116,0.2780117094516754,0.2144207805395126
11.0,gpt2,10.0,0.0488790273666381,232.0927734375,15.5,0.0,True,20250317_122440,0.0,0.0488790273666381,0.2888444662094116,0.2780117094516754,0.2144207805395126
12.0,gpt2,11.0,0.0488790273666381,231.6708984375,15.458333333333334,0.0,True,20250317_122440,0.0,0.0488790273666381,0.2888444662094116,0.2780117094516754,0.2144207805395126
13.0,gpt2,12.0,0.0488790273666381,231.4599609375,15.4375,0.0,True,20250317_122440,0.0,0.0488790273666381,0.2888444662094116,0.2780117094516754,0.2144207805395126
14.0,gpt2,13.0,0.1046395674347877,230.4755859375,15.145833333333334,0.0,True,20250317_122440,0.0,0.1046395674347877,0.291200578212738,0.2788331806659698,0.732229471206665
15.0,gpt2,14.0,0.0559282898902893,229.6318359375,15.0625,0.0,True,20250317_122440,0.0,0.0559282898902893,0.2731384038925171,0.2784382402896881,0.4613925218582153
16.0,gpt2,15.0,0.0559282898902893,229.2099609375,15.020833333333334,0.0,True,20250317_122440,0.0,0.0559282898902893,0.2731384038925171,0.2784382402896881,0.4613925218582153
17.0,gpt2,16.0,0.0559282898902893,228.7880859375,14.979166666666666,0.0,True,20250317_122440,0.0,0.0559282898902893,0.2731384038925171,0.2784382402896881,0.4613925218582153
18.0,gpt2,17.0,0.0559282898902893,228.3662109375,14.9375,0.0,True,20250317_122440,0.0,0.0559282898902893,0.2731384038925171,0.2784382402896881,0.4613925218582153
19.0,gpt2,18.0,0.0559282898902893,227.9443359375,14.895833333333334,0.0,True,20250317_122440,0.0,0.0559282898902893,0.2731384038925171,0.2784382402896881,0.4613925218582153
20.0,gpt2,19.0,0.0559282898902893,227.7333984375,14.875,0.0,True,20250317_122440,0.0,0.0559282898902893,0.2731384038925171,0.2784382402896881,0.4613925218582153
21.0,gpt2,20.0,0.028311587870121,223.7958984375,14.583333333333334,0.0,True,20250317_122440,0.0,0.028311587870121,0.2730346322059631,0.2744229733943939,0.2267511337995529
22.0,gpt2,21.0,0.0239611640572547,222.9521484375,14.5,0.0,True,20250317_122440,0.0,0.0239611640572547,0.2455402761697769,0.2741159498691559,0.0257013887166976
23.0,gpt2,22.0,0.0239611640572547,222.5302734375,14.458333333333334,0.0,True,20250317_122440,0.0,0.0239611640572547,0.2455402761697769,0.2741159498691559,0.0257013887166976
