config_id,model_name,iteration,stl_score,model_size,avg_bits,avg_pruning,stl_satisfied,timestamp,threshold_relaxation,robustness_coherence,robustness_attention,robustness_context,robustness_factual
0,gpt2,0,0.16500000655651093,237.1552734375,16.0,0.0,True,20250317_122440,0.0,0.16500000655651093,0.32499998807907104,0.2800000011920929,0.23499999940395355
1,gpt2,0,0.1361885517835617,236.3115234375,15.916666666666666,0.0,True,20250317_122440,0.0,0.15708759427070618,0.31055086851119995,0.2796550691127777,0.1361885517835617
2,gpt2,1,0.1361885517835617,235.8896484375,15.875,0.0,True,20250317_122440,0.0,0.15708759427070618,0.31055086851119995,0.2796550691127777,0.1361885517835617
3,gpt2,2,0.1361885517835617,235.4677734375,15.833333333333334,0.0,True,20250317_122440,0.0,0.15708759427070618,0.31055086851119995,0.2796550691127777,0.1361885517835617
4,gpt2,3,0.1361885517835617,235.0458984375,15.791666666666666,0.0,True,20250317_122440,0.0,0.15708759427070618,0.31055086851119995,0.2796550691127777,0.1361885517835617
5,gpt2,4,0.1361885517835617,234.6240234375,15.75,0.0,True,20250317_122440,0.0,0.15708759427070618,0.31055086851119995,0.2796550691127777,0.1361885517835617
6,gpt2,5,0.1361885517835617,234.4130859375,15.729166666666666,0.0,True,20250317_122440,0.0,0.15708759427070618,0.31055086851119995,0.2796550691127777,0.1361885517835617
7,gpt2,6,0.07455793768167496,234.2021484375,15.708333333333334,0.0,True,20250317_122440,0.0,0.07455793768167496,0.3025203347206116,0.2791335880756378,0.16410641372203827
8,gpt2,7,0.048879027366638184,233.3583984375,15.625,0.0,True,20250317_122440,0.0,0.048879027366638184,0.2888444662094116,0.2780117094516754,0.21442078053951263
9,gpt2,8,0.048879027366638184,232.9365234375,15.583333333333334,0.0,True,20250317_122440,0.0,0.048879027366638184,0.2888444662094116,0.2780117094516754,0.21442078053951263
10,gpt2,9,0.048879027366638184,232.5146484375,15.541666666666666,0.0,True,20250317_122440,0.0,0.048879027366638184,0.2888444662094116,0.2780117094516754,0.21442078053951263
11,gpt2,10,0.048879027366638184,232.0927734375,15.5,0.0,True,20250317_122440,0.0,0.048879027366638184,0.2888444662094116,0.2780117094516754,0.21442078053951263
12,gpt2,11,0.048879027366638184,231.6708984375,15.458333333333334,0.0,True,20250317_122440,0.0,0.048879027366638184,0.2888444662094116,0.2780117094516754,0.21442078053951263
13,gpt2,12,0.048879027366638184,231.4599609375,15.4375,0.0,True,20250317_122440,0.0,0.048879027366638184,0.2888444662094116,0.2780117094516754,0.21442078053951263
14,gpt2,13,0.10463956743478775,230.4755859375,15.145833333333334,0.0,True,20250317_122440,0.0,0.10463956743478775,0.29120057821273804,0.27883318066596985,0.732229471206665
15,gpt2,14,0.05592828989028931,229.6318359375,15.0625,0.0,True,20250317_122440,0.0,0.05592828989028931,0.2731384038925171,0.2784382402896881,0.46139252185821533
16,gpt2,15,0.05592828989028931,229.2099609375,15.020833333333334,0.0,True,20250317_122440,0.0,0.05592828989028931,0.2731384038925171,0.2784382402896881,0.46139252185821533
