config_id,iteration,stl_score,model_size,avg_bits,avg_pruning,stl_satisfied,robustness_coherence,robustness_attention,robustness_context,robustness_factual,is_pareto
0,0,0.16500000655651093,237.1552734375,16.0,0.0,True,0.16500000655651093,0.32499998807907104,0.2800000011920929,0.23499999940395355,True
1,0,0.1361885517835617,236.3115234375,15.916666666666666,0.0,True,0.15708759427070618,0.31055086851119995,0.2796550691127777,0.1361885517835617,False
2,1,0.1361885517835617,235.8896484375,15.875,0.0,True,0.15708759427070618,0.31055086851119995,0.2796550691127777,0.1361885517835617,False
3,2,0.1361885517835617,235.4677734375,15.833333333333334,0.0,True,0.15708759427070618,0.31055086851119995,0.2796550691127777,0.1361885517835617,False
4,3,0.1361885517835617,235.0458984375,15.791666666666666,0.0,True,0.15708759427070618,0.31055086851119995,0.2796550691127777,0.1361885517835617,False
5,4,0.1361885517835617,234.6240234375,15.75,0.0,True,0.15708759427070618,0.31055086851119995,0.2796550691127777,0.1361885517835617,False
6,5,0.1361885517835617,234.4130859375,15.729166666666666,0.0,True,0.15708759427070618,0.31055086851119995,0.2796550691127777,0.1361885517835617,True
7,6,0.07455793768167496,234.2021484375,15.708333333333334,0.0,True,0.07455793768167496,0.3025203347206116,0.2791335880756378,0.16410641372203827,False
8,7,0.048879027366638184,233.3583984375,15.625,0.0,True,0.048879027366638184,0.2888444662094116,0.2780117094516754,0.21442078053951263,False
9,8,0.048879027366638184,232.9365234375,15.583333333333334,0.0,True,0.048879027366638184,0.2888444662094116,0.2780117094516754,0.21442078053951263,False
10,9,0.048879027366638184,232.5146484375,15.541666666666666,0.0,True,0.048879027366638184,0.2888444662094116,0.2780117094516754,0.21442078053951263,False
11,10,0.048879027366638184,232.0927734375,15.5,0.0,True,0.048879027366638184,0.2888444662094116,0.2780117094516754,0.21442078053951263,False
12,11,0.048879027366638184,231.6708984375,15.458333333333334,0.0,True,0.048879027366638184,0.2888444662094116,0.2780117094516754,0.21442078053951263,False
13,12,0.048879027366638184,231.4599609375,15.4375,0.0,True,0.048879027366638184,0.2888444662094116,0.2780117094516754,0.21442078053951263,False
14,13,0.10463956743478775,230.4755859375,15.145833333333334,0.0,True,0.10463956743478775,0.29120057821273804,0.27883318066596985,0.732229471206665,True
15,14,0.05592828989028931,229.6318359375,15.0625,0.0,True,0.05592828989028931,0.2731384038925171,0.2784382402896881,0.46139252185821533,False
16,15,0.05592828989028931,229.2099609375,15.020833333333334,0.0,True,0.05592828989028931,0.2731384038925171,0.2784382402896881,0.46139252185821533,False
17,16,0.05592828989028931,228.7880859375,14.979166666666666,0.0,True,0.05592828989028931,0.2731384038925171,0.2784382402896881,0.46139252185821533,False
18,17,0.05592828989028931,228.3662109375,14.9375,0.0,True,0.05592828989028931,0.2731384038925171,0.2784382402896881,0.46139252185821533,False
19,18,0.05592828989028931,227.9443359375,14.895833333333334,0.0,True,0.05592828989028931,0.2731384038925171,0.2784382402896881,0.46139252185821533,False
20,19,0.05592828989028931,227.7333984375,14.875,0.0,True,0.05592828989028931,0.2731384038925171,0.2784382402896881,0.46139252185821533,False
21,20,0.028311587870121002,223.7958984375,14.583333333333334,0.0,True,0.028311587870121002,0.27303463220596313,0.2744229733943939,0.22675113379955292,False
22,21,0.02396116405725479,222.9521484375,14.5,0.0,True,0.02396116405725479,0.24554027616977692,0.2741159498691559,0.025701388716697693,False
23,22,0.02396116405725479,222.5302734375,14.458333333333334,0.0,True,0.02396116405725479,0.24554027616977692,0.2741159498691559,0.025701388716697693,False
24,23,0.02396116405725479,222.1083984375,14.416666666666666,0.0,True,0.02396116405725479,0.24554027616977692,0.2741159498691559,0.025701388716697693,False
25,24,0.02396116405725479,221.6865234375,14.375,0.0,True,0.02396116405725479,0.24554027616977692,0.2741159498691559,0.025701388716697693,False
26,25,0.02396116405725479,221.2646484375,14.333333333333334,0.0,True,0.02396116405725479,0.24554027616977692,0.2741159498691559,0.025701388716697693,False
27,26,0.02396116405725479,221.0537109375,14.3125,0.0,True,0.02396116405725479,0.24554027616977692,0.2741159498691559,0.025701388716697693,False
28,27,0.037163637578487396,220.7724609375,14.229166666666666,0.0,True,0.037163637578487396,0.24554027616977692,0.2692573368549347,0.07035933434963226,False
29,28,0.007614024914801121,216.8349609375,13.9375,0.0,True,0.007614024914801121,0.23190326988697052,0.2648521959781647,0.47275233268737793,False
30,29,0.007614024914801121,216.6943359375,13.895833333333334,0.0,True,0.007614024914801121,0.23190326988697052,0.2648521959781647,0.47275233268737793,False
31,30,0.007614024914801121,216.5537109375,13.854166666666666,0.0,True,0.007614024914801121,0.23190326988697052,0.2648521959781647,0.47275233268737793,False
32,31,0.007614024914801121,216.4130859375,13.8125,0.0,True,0.007614024914801121,0.23190326988697052,0.2648521959781647,0.47275233268737793,False
33,32,0.007614024914801121,216.2724609375,13.770833333333334,0.0,True,0.007614024914801121,0.23190326988697052,0.2648521959781647,0.47275233268737793,False
34,33,0.007614024914801121,216.2021484375,13.75,0.0,True,0.007614024914801121,0.23190326988697052,0.2648521959781647,0.47275233268737793,False
35,34,0.03735632449388504,215.0771484375,13.666666666666666,0.0,True,0.03735632449388504,0.23416192829608917,0.26734861731529236,0.1519865244626999,False
36,35,0.017354972660541534,214.7958984375,13.583333333333334,0.0,True,0.017354972660541534,0.22870095074176788,0.26213976740837097,0.017479166388511658,False
37,36,0.017354972660541534,214.6552734375,13.541666666666666,0.0,True,0.017354972660541534,0.22870095074176788,0.26213976740837097,0.017479166388511658,False
38,37,0.017354972660541534,214.5146484375,13.5,0.0,True,0.017354972660541534,0.22870095074176788,0.26213976740837097,0.017479166388511658,False
39,38,0.017354972660541534,214.3740234375,13.458333333333334,0.0,True,0.017354972660541534,0.22870095074176788,0.26213976740837097,0.017479166388511658,False
40,39,0.017354972660541534,214.2333984375,13.416666666666666,0.0,True,0.017354972660541534,0.22870095074176788,0.26213976740837097,0.017479166388511658,False
41,40,0.017354972660541534,214.1630859375,13.395833333333334,0.0,True,0.017354972660541534,0.22870095074176788,0.26213976740837097,0.017479166388511658,False
42,41,0.00629305187612772,213.7412109375,13.270833333333334,0.0,True,0.00629305187612772,0.2293783575296402,0.2590543329715729,0.08038054406642914,False
43,42,0.012892850674688816,213.6708984375,13.25,0.0,True,0.012892850674688816,0.23574526607990265,0.2665909230709076,0.16678963601589203,False
44,43,0.012892850674688816,213.5302734375,13.208333333333334,0.0,True,0.012892850674688816,0.23574526607990265,0.2665909230709076,0.16678963601589203,False
45,44,0.012892850674688816,213.3896484375,13.166666666666666,0.0,True,0.012892850674688816,0.23574526607990265,0.2665909230709076,0.16678963601589203,False
46,45,0.012892850674688816,213.2490234375,13.125,0.0,True,0.012892850674688816,0.23574526607990265,0.2665909230709076,0.16678963601589203,False
47,46,0.012892850674688816,213.1787109375,13.104166666666666,0.0,True,0.012892850674688816,0.23574526607990265,0.2665909230709076,0.16678963601589203,False
48,47,0.00935716275125742,209.2412109375,12.8125,0.0,True,0.00935716275125742,0.23773260414600372,0.2402041256427765,0.1190558522939682,False
49,48,0.0012844884768128395,208.9599609375,12.729166666666666,0.0,True,0.0012844884768128395,0.23463667929172516,0.24485138058662415,0.04511640965938568,False
50,49,0.0012844884768128395,208.8193359375,12.6875,0.0,True,0.0012844884768128395,0.23463667929172516,0.24485138058662415,0.04511640965938568,False
51,50,0.0012844884768128395,208.6787109375,12.645833333333334,0.0,True,0.0012844884768128395,0.23463667929172516,0.24485138058662415,0.04511640965938568,False
52,51,0.0012844884768128395,208.5380859375,12.604166666666666,0.0,True,0.0012844884768128395,0.23463667929172516,0.24485138058662415,0.04511640965938568,False
53,52,0.0012844884768128395,208.3974609375,12.5625,0.0,True,0.0012844884768128395,0.23463667929172516,0.24485138058662415,0.04511640965938568,False
54,53,0.0012844884768128395,208.3271484375,12.541666666666666,0.0,True,0.0012844884768128395,0.23463667929172516,0.24485138058662415,0.04511640965938568,False
55,54,0.00113616231828928,208.2146484375,12.541666666666666,0.0020833333333333333,True,0.00113616231828928,0.23463816940784454,0.24584701657295227,0.04148934781551361,False
56,55,0.0004767263017129153,207.7646484375,12.541666666666666,0.004166666666666667,True,0.0004767263017129153,0.2346336394548416,0.24470368027687073,0.033030495047569275,False
57,56,0.0004767263017129153,207.65214843750002,12.541666666666666,0.006250000000000001,True,0.0004767263017129153,0.2346336394548416,0.24470368027687073,0.033030495047569275,False
58,57,0.0066258544102311134,207.5958984375,12.541666666666666,0.008333333333333333,True,0.0066258544102311134,0.23239155113697052,0.24277475476264954,0.5772414207458496,False
59,58,0.0066258544102311134,207.4833984375,12.541666666666666,0.010416666666666666,True,0.0066258544102311134,0.23239155113697052,0.24277475476264954,0.5772414207458496,False
60,59,0.005093940533697605,207.37089843750002,12.541666666666666,0.012500000000000002,True,0.005093940533697605,0.2324173003435135,0.247501403093338,0.47709155082702637,False
61,60,0.0029329443350434303,207.2583984375,12.541666666666666,0.014583333333333332,True,0.0029329443350434303,0.23251135647296906,0.24727407097816467,0.4793180227279663,False
62,61,0.0029329443350434303,206.80839843750002,12.541666666666666,0.016666666666666666,True,0.0029329443350434303,0.23251135647296906,0.24727407097816467,0.4793180227279663,False
63,62,0.002527245320379734,206.3583984375,12.541666666666666,0.01875,True,0.002527245320379734,0.23252995312213898,0.2466818392276764,0.4894704818725586,False
64,63,0.00221442524343729,205.9083984375,12.541666666666666,0.020833333333333332,True,0.00221442524343729,0.23256291449069977,0.24822714924812317,0.4712989330291748,False
